AF_CMP_factor01,AF_CMP_factor02,AF_CMP_factor03,AF_CMP_factor04,AF_CMP_factor05,AF_CMP_factor06,consecutive
000587.SZ,*ST金洲,金洲慈航集团股份有限公司,1996-04-25 00:00:00,,可选消费,0
000589.SZ,贵州轮胎,贵州轮胎股份有限公司,1996-03-08 00:00:00,,可选消费,0
000590.SZ,启迪药业,启迪药业集团股份公司,1996-01-19 00:00:00,,医疗保健,0
000591.SZ,太阳能,中节能太阳能股份有限公司,1996-02-08 00:00:00,,公用事业,0
000592.SZ,平潭发展,中福海峡(平潭)发展股份有限公司,1996-03-27 00:00:00,,材料,0
000593.SZ,德龙汇能,德龙汇能集团股份有限公司,1996-03-12 00:00:00,,公用事业,0
000595.SZ,宝塔实业,宝塔实业股份有限公司,1996-04-19 00:00:00,,工业,0
000596.SZ,古井贡酒,安徽古井贡酒股份有限公司,1996-09-27 00:00:00,,日常消费,0
000597.SZ,东北制药,东北制药集团股份有限公司,1996-05-23 00:00:00,,医疗保健,0
000598.SZ,兴蓉环境,成都市兴蓉环境股份有限公司,1996-05-29 00:00:00,,公用事业,0
000599.SZ,青岛双星,青岛双星股份有限公司,1996-04-30 00:00:00,,可选消费,0
000600.SZ,建投能源,河北建投能源投资股份有限公司,1996-06-06 00:00:00,,公用事业,0
000601.SZ,韶能股份,广东韶能集团股份有限公司,1996-08-30 00:00:00,,公用事业,0
000603.SZ,盛达资源,盛达金属资源股份有限公司,1996-08-23 00:00:00,,材料,0
000605.SZ,渤海股份,渤海水业股份有限公司,1996-09-13 00:00:00,,公用事业,0
000606.SZ,*ST顺利,顺利办信息服务股份有限公司,1996-10-04 00:00:00,,信息技术,0
000607.SZ,华媒控股,浙江华媒控股股份有限公司,1996-08-30 00:00:00,,可选消费,0
000608.SZ,阳光股份,阳光新业地产股份有限公司,1996-09-19 00:00:00,,房地产,0
000609.SZ,中迪投资,北京中迪投资股份有限公司,1996-10-10 00:00:00,,房地产,0
000610.SZ,西安旅游,西安旅游股份有限公司,1996-09-26 00:00:00,,可选消费,0
000612.SZ,焦作万方,焦作万方铝业股份有限公司,1996-09-26 00:00:00,,材料,0
000615.SZ,奥园美谷,奥园美谷科技股份有限公司,1996-10-16 00:00:00,,材料,0
000616.SZ,ST海投,海航投资集团股份有限公司,1996-11-08 00:00:00,,房地产,0
000617.SZ,中油资本,中国石油集团资本股份有限公司,1996-10-22 00:00:00,,金融,0
000619.SZ,海螺新材,海螺(安徽)节能环保新材料股份有限公司,1996-10-23 00:00:00,,工业,0
000620.SZ,新华联,新华联文化旅游发展股份有限公司,1996-10-29 00:00:00,,房地产,0
000622.SZ,恒立实业,恒立实业发展集团股份有限公司,1996-11-07 00:00:00,,可选消费,0
000623.SZ,吉林敖东,吉林敖东药业集团股份有限公司,1996-10-28 00:00:00,,医疗保健,0
000625.SZ,长安汽车,重庆长安汽车股份有限公司,1997-06-10 00:00:00,,可选消费,0
000626.SZ,远大控股,远大产业控股股份有限公司,1996-11-28 00:00:00,,工业,0
000627.SZ,天茂集团,天茂实业集团股份有限公司,1996-11-12 00:00:00,,金融,0
000628.SZ,高新发展,成都高新发展股份有限公司,1996-11-18 00:00:00,,工业,0
000629.SZ,攀钢钒钛,攀钢集团钒钛资源股份有限公司,1996-11-15 00:00:00,,材料,0
000630.SZ,铜陵有色,铜陵有色金属集团股份有限公司,1996-11-20 00:00:00,,材料,0
000631.SZ,顺发恒业,顺发恒业股份公司,1996-11-22 00:00:00,,房地产,0
000632.SZ,三木集团,福建三木集团股份有限公司,1996-11-21 00:00:00,,工业,0
000633.SZ,合金投资,新疆合金投资股份有限公司,1996-11-12 00:00:00,,材料,0
000635.SZ,英力特,宁夏英力特化工股份有限公司,1996-11-20 00:00:00,,材料,0
000636.SZ,风华高科,广东风华高新科技股份有限公司,1996-11-29 00:00:00,,信息技术,0
000637.SZ,茂化实华,茂名石化实华股份有限公司,1996-11-14 00:00:00,,材料,0
000638.SZ,*ST万方,万方城镇投资发展股份有限公司,1996-11-26 00:00:00,,工业,0
000639.SZ,西王食品,西王食品股份有限公司,1996-11-26 00:00:00,,日常消费,0
000650.SZ,仁和药业,仁和药业股份有限公司,1996-12-10 00:00:00,,医疗保健,0
000651.SZ,格力电器,珠海格力电器股份有限公司,1996-11-18 00:00:00,,可选消费,0
000652.SZ,泰达股份,天津泰达股份有限公司,1996-11-28 00:00:00,,工业,0
000655.SZ,金岭矿业,山东金岭矿业股份有限公司,1996-11-28 00:00:00,,材料,0
000656.SZ,金科股份,金科地产集团股份有限公司,1996-11-28 00:00:00,,房地产,0
000657.SZ,中钨高新,中钨高新材料股份有限公司,1996-12-05 00:00:00,,材料,0
000659.SZ,珠海中富,珠海中富实业股份有限公司,1996-12-03 00:00:00,,材料,0
000661.SZ,长春高新,长春高新技术产业(集团)股份有限公司,1996-12-18 00:00:00,,医疗保健,0
000663.SZ,永安林业,福建省永安林业(集团)股份有限公司,1996-12-06 00:00:00,,可选消费,0
000665.SZ,湖北广电,湖北省广播电视信息网络股份有限公司,1996-12-10 00:00:00,,可选消费,0
000666.SZ,经纬纺机,经纬纺织机械股份有限公司,1996-12-10 00:00:00,,金融,0
000667.SZ,美好置业,美好置业集团股份有限公司,1996-12-05 00:00:00,,房地产,0
000668.SZ,荣丰控股,荣丰控股集团股份有限公司,1996-12-10 00:00:00,,医疗保健,0
000669.SZ,ST金鸿,金鸿控股集团股份有限公司,1996-12-10 00:00:00,,公用事业,0
000670.SZ,盈方微,盈方微电子股份有限公司,1996-12-17 00:00:00,,信息技术,0
000671.SZ,阳光城,阳光城集团股份有限公司,1996-12-18 00:00:00,,房地产,0
000672.SZ,上峰水泥,甘肃上峰水泥股份有限公司,1996-12-18 00:00:00,,材料,0
000676.SZ,智度股份,智度科技股份有限公司,1996-12-24 00:00:00,,信息技术,0
000677.SZ,恒天海龙,恒天海龙股份有限公司,1996-12-26 00:00:00,,材料,0
000678.SZ,襄阳轴承,襄阳汽车轴承股份有限公司,1997-01-06 00:00:00,,可选消费,0
000679.SZ,大连友谊,大连友谊(集团)股份有限公司,1997-01-24 00:00:00,,可选消费,0
000680.SZ,山推股份,山推工程机械股份有限公司,1997-01-22 00:00:00,,工业,0
000681.SZ,视觉中国,视觉(中国)文化发展股份有限公司,1997-01-21 00:00:00,,可选消费,0
000682.SZ,东方电子,东方电子股份有限公司,1997-01-21 00:00:00,,工业,0
000683.SZ,远兴能源,内蒙古远兴能源股份有限公司,1997-01-31 00:00:00,,材料,0
000685.SZ,中山公用,中山公用事业集团股份有限公司,1997-01-23 00:00:00,,公用事业,0
000686.SZ,东北证券,东北证券股份有限公司,1997-02-27 00:00:00,,金融,0
000688.SZ,国城矿业,国城矿业股份有限公司,1997-01-20 00:00:00,,材料,0
000690.SZ,宝新能源,广东宝丽华新能源股份有限公司,1997-01-28 00:00:00,,公用事业,0
000691.SZ,亚太实业,甘肃亚太实业发展股份有限公司,1997-02-28 00:00:00,,材料,0
000692.SZ,惠天热电,沈阳惠天热电股份有限公司,1997-02-27 00:00:00,,公用事业,0
000695.SZ,滨海能源,天津滨海能源发展股份有限公司,1997-02-18 00:00:00,,工业,0
000697.SZ,炼石航空,炼石航空科技股份有限公司,1997-03-25 00:00:00,,工业,0
000698.SZ,沈阳化工,沈阳化工股份有限公司,1997-02-20 00:00:00,,材料,0
000700.SZ,模塑科技,江南模塑科技股份有限公司,1997-02-28 00:00:00,,可选消费,0
000701.SZ,厦门信达,厦门信达股份有限公司,1997-02-26 00:00:00,,工业,0
000702.SZ,正虹科技,湖南正虹科技发展股份有限公司,1997-03-18 00:00:00,,日常消费,0
000703.SZ,恒逸石化,恒逸石化股份有限公司,1997-03-28 00:00:00,,材料,0
000705.SZ,浙江震元,浙江震元股份有限公司,1997-04-10 00:00:00,,医疗保健,0
000707.SZ,双环科技,湖北双环科技股份有限公司,1997-04-15 00:00:00,,材料,0
000708.SZ,中信特钢,中信泰富特钢集团股份有限公司,1997-03-26 00:00:00,,材料,0
000709.SZ,河钢股份,河钢股份有限公司,1997-04-16 00:00:00,,材料,0
000710.SZ,贝瑞基因,成都市贝瑞和康基因技术股份有限公司,1997-04-22 00:00:00,,医疗保健,0
000711.SZ,京蓝科技,京蓝科技股份有限公司,1997-04-11 00:00:00,,工业,0
000712.SZ,锦龙股份,广东锦龙发展股份有限公司,1997-04-15 00:00:00,,金融,0
000713.SZ,丰乐种业,合肥丰乐种业股份有限公司,1997-04-22 00:00:00,,日常消费,0
000715.SZ,中兴商业,中兴-沈阳商业大厦(集团)股份有限公司,1997-05-08 00:00:00,,可选消费,0
000716.SZ,黑芝麻,南方黑芝麻集团股份有限公司,1997-04-18 00:00:00,,日常消费,0
000717.SZ,韶钢松山,广东韶钢松山股份有限公司,1997-05-08 00:00:00,,材料,0
000718.SZ,苏宁环球,苏宁环球股份有限公司,1997-04-08 00:00:00,,房地产,0
000719.SZ,中原传媒,中原大地传媒股份有限公司,1997-03-31 00:00:00,,可选消费,0
000720.SZ,新能泰山,山东新能泰山发电股份有限公司,1997-05-09 00:00:00,,房地产,0
000721.SZ,西安饮食,西安饮食股份有限公司,1997-04-30 00:00:00,,可选消费,0
000722.SZ,湖南发展,湖南发展集团股份有限公司,1997-05-22 00:00:00,,公用事业,0
000723.SZ,美锦能源,山西美锦能源股份有限公司,1997-05-15 00:00:00,,能源,0
000725.SZ,京东方A,京东方科技集团股份有限公司,2001-01-12 00:00:00,,信息技术,0
000726.SZ,鲁泰A,鲁泰纺织股份有限公司,2000-12-25 00:00:00,,可选消费,0
000727.SZ,冠捷科技,冠捷电子科技股份有限公司,1997-05-20 00:00:00,,信息技术,0
000728.SZ,国元证券,国元证券股份有限公司,1997-06-16 00:00:00,,金融,0
000729.SZ,燕京啤酒,北京燕京啤酒股份有限公司,1997-07-16 00:00:00,,日常消费,0
000731.SZ,四川美丰,四川美丰化工股份有限公司,1997-06-17 00:00:00,,材料,0
000732.SZ,ST泰禾,泰禾集团股份有限公司,1997-07-04 00:00:00,,房地产,0
000733.SZ,振华科技,中国振华(集团)科技股份有限公司,1997-07-03 00:00:00,,信息技术,0
000735.SZ,罗牛山,罗牛山股份有限公司,1997-06-11 00:00:00,,日常消费,0
000736.SZ,中交地产,中交地产股份有限公司,1997-04-25 00:00:00,,房地产,0
000737.SZ,北方铜业,北方铜业(山西)股份有限公司,1997-04-28 00:00:00,,材料,0
000738.SZ,航发控制,中国航发动力控制股份有限公司,1997-06-26 00:00:00,,工业,0
000739.SZ,普洛药业,普洛药业股份有限公司,1997-05-09 00:00:00,,医疗保健,0
000750.SZ,国海证券,国海证券股份有限公司,1997-07-09 00:00:00,,金融,0
000751.SZ,锌业股份,葫芦岛锌业股份有限公司,1997-06-26 00:00:00,,材料,0
000752.SZ,*ST西发,西藏发展股份有限公司,1997-06-25 00:00:00,,日常消费,0
000753.SZ,漳州发展,福建漳州发展股份有限公司,1997-06-26 00:00:00,,可选消费,0
000755.SZ,山西路桥,山西路桥股份有限公司,1997-06-27 00:00:00,,工业,0
000756.SZ,新华制药,山东新华制药股份有限公司,1997-08-06 00:00:00,,医疗保健,0
000757.SZ,浩物股份,四川浩物机电股份有限公司,1997-06-27 00:00:00,,可选消费,0
000758.SZ,中色股份,中国有色金属建设股份有限公司,1997-04-16 00:00:00,,材料,0
000759.SZ,中百集团,中百控股集团股份有限公司,1997-05-19 00:00:00,,日常消费,0
000761.SZ,本钢板材,本钢板材股份有限公司,1998-01-15 00:00:00,,材料,0
000762.SZ,西藏矿业,西藏矿业发展股份有限公司,1997-07-08 00:00:00,,材料,0
000766.SZ,通化金马,通化金马药业集团股份有限公司,1997-04-30 00:00:00,,医疗保健,0
000767.SZ,晋控电力,晋能控股山西电力股份有限公司,1997-06-09 00:00:00,,公用事业,0
000768.SZ,中航西飞,中航西安飞机工业集团股份有限公司,1997-06-26 00:00:00,,工业,0
000776.SZ,广发证券,广发证券股份有限公司,1997-06-11 00:00:00,,金融,0
000777.SZ,中核科技,中核苏阀科技实业股份有限公司,1997-07-10 00:00:00,,工业,0
000778.SZ,新兴铸管,新兴铸管股份有限公司,1997-06-06 00:00:00,,材料,0
000779.SZ,甘咨询,甘肃工程咨询集团股份有限公司,1997-05-28 00:00:00,,工业,0
