AF_CMP_factor01,AF_CMP_factor02,AF_CMP_factor03,AF_CMP_factor04,AF_CMP_factor05,AF_CMP_factor06,consecutive
300777.SZ,中简科技,中简科技股份有限公司,2019-05-16 00:00:00,,材料,0
300778.SZ,新城市,深圳市新城市规划建筑设计股份有限公司,2019-05-10 00:00:00,,工业,0
300779.SZ,惠城环保,青岛惠城环保科技集团股份有限公司,2019-05-22 00:00:00,,材料,0
300780.SZ,德恩精工,四川德恩精工科技股份有限公司,2019-05-31 00:00:00,,工业,0
300781.SZ,因赛集团,广东因赛品牌营销集团股份有限公司,2019-06-06 00:00:00,,可选消费,0
300782.SZ,卓胜微,江苏卓胜微电子股份有限公司,2019-06-18 00:00:00,,信息技术,0
300783.SZ,三只松鼠,三只松鼠股份有限公司,2019-07-12 00:00:00,,日常消费,0
300785.SZ,值得买,北京值得买科技股份有限公司,2019-07-15 00:00:00,,信息技术,0
300786.SZ,国林科技,青岛国林环保科技股份有限公司,2019-07-23 00:00:00,,工业,0
300787.SZ,海能实业,安福县海能实业股份有限公司,2019-08-15 00:00:00,,信息技术,0
300788.SZ,中信出版,中信出版集团股份有限公司,2019-07-05 00:00:00,,可选消费,0
300789.SZ,唐源电气,成都唐源电气股份有限公司,2019-08-28 00:00:00,,信息技术,0
300790.SZ,宇瞳光学,东莞市宇瞳光学科技股份有限公司,2019-09-20 00:00:00,,信息技术,0
300791.SZ,仙乐健康,仙乐健康科技股份有限公司,2019-09-25 00:00:00,,医疗保健,0
300792.SZ,壹网壹创,杭州壹网壹创科技股份有限公司,2019-09-27 00:00:00,,信息技术,0
300793.SZ,佳禾智能,佳禾智能科技股份有限公司,2019-10-18 00:00:00,,信息技术,0
300795.SZ,米奥会展,浙江米奥兰特商务会展股份有限公司,2019-10-22 00:00:00,,工业,0
300796.SZ,贝斯美,绍兴贝斯美化工股份有限公司,2019-11-15 00:00:00,,材料,0
300797.SZ,钢研纳克,钢研纳克检测技术股份有限公司,2019-11-01 00:00:00,,信息技术,0
300798.SZ,锦鸡股份,江苏锦鸡实业股份有限公司,2019-11-22 00:00:00,,材料,0
300799.SZ,左江科技,北京左江科技股份有限公司,2019-10-29 00:00:00,,信息技术,0
300800.SZ,力合科技,力合科技(湖南)股份有限公司,2019-11-06 00:00:00,,信息技术,0
300801.SZ,泰和科技,山东泰和水处理科技股份有限公司,2019-11-28 00:00:00,,材料,0
300802.SZ,矩子科技,上海矩子科技股份有限公司,2019-11-14 00:00:00,,信息技术,0
300803.SZ,指南针,北京指南针科技发展股份有限公司,2019-11-18 00:00:00,,信息技术,0
300805.SZ,电声股份,广东电声市场营销股份有限公司,2019-11-21 00:00:00,,可选消费,0
300806.SZ,斯迪克,江苏斯迪克新材料科技股份有限公司,2019-11-25 00:00:00,,材料,0
300807.SZ,天迈科技,郑州天迈科技股份有限公司,2019-12-19 00:00:00,,信息技术,0
300808.SZ,久量股份,广东久量股份有限公司,2019-11-29 00:00:00,,工业,0
300809.SZ,华辰装备,华辰精密装备(昆山)股份有限公司,2019-12-04 00:00:00,,工业,0
300810.SZ,中科海讯,北京中科海讯数字科技股份有限公司,2019-12-06 00:00:00,,信息技术,0
300811.SZ,铂科新材,深圳市铂科新材料股份有限公司,2019-12-30 00:00:00,,信息技术,0
300812.SZ,易天股份,深圳市易天自动化设备股份有限公司,2020-01-09 00:00:00,,工业,0
300813.SZ,泰林生物,浙江泰林生物技术股份有限公司,2020-01-14 00:00:00,,医疗保健,0
300814.SZ,中富电路,深圳中富电路股份有限公司,2021-08-12 00:00:00,,信息技术,0
300815.SZ,玉禾田,玉禾田环境发展集团股份有限公司,2020-01-23 00:00:00,,工业,0
300816.SZ,艾可蓝,安徽艾可蓝环保股份有限公司,2020-02-10 00:00:00,,可选消费,0
300817.SZ,双飞股份,浙江双飞无油轴承股份有限公司,2020-02-18 00:00:00,,工业,0
300818.SZ,耐普矿机,江西耐普矿机股份有限公司,2020-02-12 00:00:00,,工业,0
300819.SZ,聚杰微纤,江苏聚杰微纤科技集团股份有限公司,2020-03-12 00:00:00,,可选消费,0
300820.SZ,英杰电气,四川英杰电气股份有限公司,2020-02-13 00:00:00,,工业,0
300821.SZ,东岳硅材,山东东岳有机硅材料股份有限公司,2020-03-12 00:00:00,,材料,0
300822.SZ,贝仕达克,深圳贝仕达克技术股份有限公司,2020-03-13 00:00:00,,信息技术,0
300823.SZ,建科机械,建科机械(天津)股份有限公司,2020-03-19 00:00:00,,工业,0
300824.SZ,北鼎股份,深圳市北鼎晶辉科技股份有限公司,2020-06-19 00:00:00,,可选消费,0
300825.SZ,阿尔特,阿尔特汽车技术股份有限公司,2020-03-27 00:00:00,,工业,0
300826.SZ,测绘股份,南京市测绘勘察研究院股份有限公司,2020-04-03 00:00:00,,工业,0
300827.SZ,上能电气,上能电气股份有限公司,2020-04-10 00:00:00,,工业,0
300828.SZ,锐新科技,天津锐新昌科技股份有限公司,2020-04-21 00:00:00,,工业,0
300829.SZ,金丹科技,河南金丹乳酸科技股份有限公司,2020-04-22 00:00:00,,日常消费,0
300830.SZ,金现代,金现代信息产业股份有限公司,2020-05-06 00:00:00,,信息技术,0
300831.SZ,派瑞股份,西安派瑞功率半导体变流技术股份有限公司,2020-05-07 00:00:00,,信息技术,0
300832.SZ,新产业,深圳市新产业生物医学工程股份有限公司,2020-05-12 00:00:00,,医疗保健,0
300833.SZ,浩洋股份,广州市浩洋电子股份有限公司,2020-05-20 00:00:00,,工业,0
300835.SZ,龙磁科技,安徽龙磁科技股份有限公司,2020-05-25 00:00:00,,信息技术,0
300836.SZ,佰奥智能,昆山佰奥智能装备股份有限公司,2020-05-28 00:00:00,,工业,0
300837.SZ,浙矿股份,浙矿重工股份有限公司,2020-06-05 00:00:00,,工业,0
300838.SZ,浙江力诺,浙江力诺流体控制科技股份有限公司,2020-06-08 00:00:00,,工业,0
300839.SZ,博汇股份,宁波博汇化工科技股份有限公司,2020-06-30 00:00:00,,能源,0
300840.SZ,酷特智能,青岛酷特智能股份有限公司,2020-07-08 00:00:00,,可选消费,0
300841.SZ,康华生物,成都康华生物制品股份有限公司,2020-06-16 00:00:00,,医疗保健,0
300842.SZ,帝科股份,无锡帝科电子材料股份有限公司,2020-06-18 00:00:00,,信息技术,0
300843.SZ,胜蓝股份,胜蓝科技股份有限公司,2020-07-02 00:00:00,,信息技术,0
300844.SZ,山水比德,广州山水比德设计股份有限公司,2021-08-13 00:00:00,,工业,0
300845.SZ,捷安高科,郑州捷安高科股份有限公司,2020-07-03 00:00:00,,信息技术,0
300846.SZ,首都在线,北京首都在线科技股份有限公司,2020-07-01 00:00:00,,信息技术,0
300847.SZ,中船汉光,中船重工汉光科技股份有限公司,2020-07-09 00:00:00,,信息技术,0
300848.SZ,美瑞新材,美瑞新材料股份有限公司,2020-07-20 00:00:00,,材料,0
300849.SZ,锦盛新材,浙江锦盛新材料股份有限公司,2020-07-10 00:00:00,,材料,0
300850.SZ,新强联,洛阳新强联回转支承股份有限公司,2020-07-13 00:00:00,,工业,0
300851.SZ,交大思诺,北京交大思诺科技股份有限公司,2020-07-17 00:00:00,,信息技术,0
300852.SZ,四会富仕,四会富仕电子科技股份有限公司,2020-07-13 00:00:00,,信息技术,0
300853.SZ,申昊科技,杭州申昊科技股份有限公司,2020-07-24 00:00:00,,工业,0
300854.SZ,中兰环保,中兰环保科技股份有限公司,2021-09-16 00:00:00,,工业,0
300855.SZ,图南股份,江苏图南合金股份有限公司,2020-07-23 00:00:00,,材料,0
300856.SZ,科思股份,南京科思化学股份有限公司,2020-07-22 00:00:00,,材料,0
300857.SZ,协创数据,协创数据技术股份有限公司,2020-07-27 00:00:00,,信息技术,0
300858.SZ,科拓生物,北京科拓恒通生物技术股份有限公司,2020-07-27 00:00:00,,日常消费,0
300859.SZ,西域旅游,西域旅游开发股份有限公司,2020-08-06 00:00:00,,可选消费,0
300860.SZ,锋尚文化,北京锋尚世纪文化传媒股份有限公司,2020-08-24 00:00:00,,可选消费,0
300861.SZ,美畅股份,杨凌美畅新材料股份有限公司,2020-08-24 00:00:00,,材料,0
300862.SZ,蓝盾光电,安徽蓝盾光电子股份有限公司,2020-08-24 00:00:00,,信息技术,0
300863.SZ,卡倍亿,宁波卡倍亿电气技术股份有限公司,2020-08-24 00:00:00,,工业,0
300864.SZ,南大环境,南京大学环境规划设计研究院集团股份公司,2020-08-24 00:00:00,,工业,0
300865.SZ,大宏立,成都大宏立机器股份有限公司,2020-08-24 00:00:00,,工业,0
300866.SZ,安克创新,安克创新科技股份有限公司,2020-08-24 00:00:00,,信息技术,0
300867.SZ,圣元环保,圣元环保股份有限公司,2020-08-24 00:00:00,,公用事业,0
300868.SZ,杰美特,深圳市杰美特科技股份有限公司,2020-08-24 00:00:00,,可选消费,0
300869.SZ,康泰医学,康泰医学系统(秦皇岛)股份有限公司,2020-08-24 00:00:00,,医疗保健,0
300870.SZ,欧陆通,深圳欧陆通电子股份有限公司,2020-08-24 00:00:00,,信息技术,0
300871.SZ,回盛生物,武汉回盛生物科技股份有限公司,2020-08-24 00:00:00,,医疗保健,0
300872.SZ,天阳科技,天阳宏业科技股份有限公司,2020-08-24 00:00:00,,信息技术,0
300873.SZ,海晨股份,江苏海晨物流股份有限公司,2020-08-24 00:00:00,,工业,0
300875.SZ,捷强装备,天津捷强动力装备股份有限公司,2020-08-24 00:00:00,,工业,0
300876.SZ,蒙泰高新,广东蒙泰高新纤维股份有限公司,2020-08-24 00:00:00,,材料,0
300877.SZ,金春股份,安徽金春无纺布股份有限公司,2020-08-24 00:00:00,,可选消费,0
300878.SZ,维康药业,浙江维康药业股份有限公司,2020-08-24 00:00:00,,医疗保健,0
300879.SZ,大叶股份,宁波大叶园林设备股份有限公司,2020-09-01 00:00:00,,工业,0
300880.SZ,迦南智能,宁波迦南智能电气股份有限公司,2020-09-01 00:00:00,,工业,0
300881.SZ,盛德鑫泰,盛德鑫泰新材料股份有限公司,2020-09-01 00:00:00,,材料,0
300882.SZ,万胜智能,浙江万胜智能科技股份有限公司,2020-09-10 00:00:00,,信息技术,0
300883.SZ,龙利得,龙利得智能科技股份有限公司,2020-09-10 00:00:00,,材料,0
300884.SZ,狄耐克,厦门狄耐克智能科技股份有限公司,2020-11-12 00:00:00,,信息技术,0
300885.SZ,海昌新材,扬州海昌新材股份有限公司,2020-09-10 00:00:00,,工业,0
300886.SZ,华业香料,安徽华业香料股份有限公司,2020-09-16 00:00:00,,材料,0
300887.SZ,谱尼测试,谱尼测试集团股份有限公司,2020-09-16 00:00:00,,工业,0
300888.SZ,稳健医疗,稳健医疗用品股份有限公司,2020-09-17 00:00:00,,可选消费,0
300889.SZ,爱克股份,深圳爱克莱特科技股份有限公司,2020-09-16 00:00:00,,可选消费,0
300890.SZ,翔丰华,深圳市翔丰华科技股份有限公司,2020-09-17 00:00:00,,工业,0
300891.SZ,惠云钛业,广东惠云钛业股份有限公司,2020-09-17 00:00:00,,材料,0
300892.SZ,品渥食品,品渥食品股份有限公司,2020-09-24 00:00:00,,可选消费,0
300893.SZ,松原股份,浙江松原汽车安全系统股份有限公司,2020-09-24 00:00:00,,可选消费,0
300894.SZ,火星人,火星人厨具股份有限公司,2020-12-31 00:00:00,,可选消费,0
300895.SZ,铜牛信息,北京铜牛信息科技股份有限公司,2020-09-24 00:00:00,,信息技术,0
300896.SZ,爱美客,爱美客技术发展股份有限公司,2020-09-28 00:00:00,,医疗保健,0
300897.SZ,山科智能,杭州山科智能科技股份有限公司,2020-09-28 00:00:00,,信息技术,0
300898.SZ,熊猫乳品,熊猫乳品集团股份有限公司,2020-10-16 00:00:00,,日常消费,0
300899.SZ,上海凯鑫,上海凯鑫分离技术股份有限公司,2020-10-16 00:00:00,,工业,0
300900.SZ,广联航空,广联航空工业股份有限公司,2020-10-29 00:00:00,,工业,0
300901.SZ,中胤时尚,浙江中胤时尚股份有限公司,2020-10-29 00:00:00,,工业,0
300902.SZ,国安达,国安达股份有限公司,2020-10-29 00:00:00,,工业,0
300903.SZ,科翔股份,广东科翔电子科技股份有限公司,2020-11-05 00:00:00,,信息技术,0
300905.SZ,宝丽迪,苏州宝丽迪材料科技股份有限公司,2020-11-05 00:00:00,,材料,0
300906.SZ,日月明,江西日月明测控科技股份有限公司,2020-11-05 00:00:00,,信息技术,0
300907.SZ,康平科技,康平科技(苏州)股份有限公司,2020-11-18 00:00:00,,工业,0
300908.SZ,仲景食品,仲景食品股份有限公司,2020-11-23 00:00:00,,日常消费,0
300909.SZ,汇创达,深圳市汇创达科技股份有限公司,2020-11-18 00:00:00,,信息技术,0
300910.SZ,瑞丰新材,新乡市瑞丰新材料股份有限公司,2020-11-27 00:00:00,,材料,0
300911.SZ,亿田智能,浙江亿田智能厨电股份有限公司,2020-12-03 00:00:00,,可选消费,0
300912.SZ,凯龙高科,凯龙高科技股份有限公司,2020-12-07 00:00:00,,可选消费,0
300913.SZ,兆龙互连,浙江兆龙互连科技股份有限公司,2020-12-07 00:00:00,,信息技术,0
300915.SZ,海融科技,上海海融食品科技股份有限公司,2020-12-02 00:00:00,,日常消费,0
300916.SZ,朗特智能,深圳朗特智能控制股份有限公司,2020-12-02 00:00:00,,信息技术,0
300917.SZ,特发服务,深圳市特发服务股份有限公司,2020-12-21 00:00:00,,房地产,0
300918.SZ,南山智尚,山东南山智尚科技股份有限公司,2020-12-22 00:00:00,,可选消费,0
300919.SZ,中伟股份,中伟新材料股份有限公司,2020-12-23 00:00:00,,材料,0
300920.SZ,润阳科技,浙江润阳新材料科技股份有限公司,2020-12-25 00:00:00,,材料,0
300921.SZ,南凌科技,南凌科技股份有限公司,2020-12-22 00:00:00,,电信服务,0
300922.SZ,天秦装备,秦皇岛天秦装备制造股份有限公司,2020-12-25 00:00:00,,工业,0
300923.SZ,研奥股份,研奥电气股份有限公司,2020-12-24 00:00:00,,工业,0
300925.SZ,法本信息,深圳市法本信息技术股份有限公司,2020-12-30 00:00:00,,信息技术,0
300926.SZ,博俊科技,江苏博俊工业科技股份有限公司,2021-01-07 00:00:00,,可选消费,0
300927.SZ,江天化学,南通江天化学股份有限公司,2021-01-07 00:00:00,,材料,0
300928.SZ,华安鑫创,华安鑫创控股(北京)股份有限公司,2021-01-06 00:00:00,,信息技术,0
300929.SZ,华骐环保,安徽华骐环保科技股份有限公司,2021-01-20 00:00:00,,公用事业,0
300930.SZ,屹通新材,杭州屹通新材料股份有限公司,2021-01-21 00:00:00,,工业,0
300931.SZ,通用电梯,通用电梯股份有限公司,2021-01-21 00:00:00,,工业,0
300932.SZ,三友联众,三友联众集团股份有限公司,2021-01-22 00:00:00,,信息技术,0
300933.SZ,中辰股份,中辰电缆股份有限公司,2021-01-22 00:00:00,,工业,0
300935.SZ,盈建科,北京盈建科软件股份有限公司,2021-01-20 00:00:00,,信息技术,0
300936.SZ,中英科技,常州中英科技股份有限公司,2021-01-26 00:00:00,,信息技术,0
300937.SZ,药易购,四川合纵药易购医药股份有限公司,2021-01-27 00:00:00,,日常消费,0
300938.SZ,信测标准,深圳信测标准技术服务股份有限公司,2021-01-27 00:00:00,,工业,0
300939.SZ,秋田微,深圳秋田微电子股份有限公司,2021-01-28 00:00:00,,信息技术,0
300940.SZ,南极光,深圳市南极光电子科技股份有限公司,2021-02-03 00:00:00,,信息技术,0
300941.SZ,创识科技,福建创识科技股份有限公司,2021-02-09 00:00:00,,信息技术,0
300942.SZ,易瑞生物,深圳市易瑞生物技术股份有限公司,2021-02-09 00:00:00,,医疗保健,0
300943.SZ,春晖智控,浙江春晖智能控制股份有限公司,2021-02-10 00:00:00,,工业,0
300945.SZ,曼卡龙,曼卡龙珠宝股份有限公司,2021-02-10 00:00:00,,可选消费,0
300946.SZ,恒而达,福建恒而达新材料股份有限公司,2021-02-08 00:00:00,,工业,0
300947.SZ,德必集团,上海德必文化创意产业发展(集团)股份有限公司,2021-02-10 00:00:00,,工业,0
300948.SZ,冠中生态,青岛冠中生态股份有限公司,2021-02-25 00:00:00,,工业,0
300949.SZ,奥雅股份,深圳奥雅设计股份有限公司,2021-02-26 00:00:00,,工业,0
300950.SZ,德固特,青岛德固特节能装备股份有限公司,2021-03-03 00:00:00,,工业,0
300951.SZ,博硕科技,深圳市博硕科技股份有限公司,2021-02-26 00:00:00,,信息技术,0
300952.SZ,恒辉安防,江苏恒辉安防股份有限公司,2021-03-11 00:00:00,,可选消费,0
300953.SZ,震裕科技,宁波震裕科技股份有限公司,2021-03-18 00:00:00,,工业,0
300955.SZ,嘉亨家化,嘉亨家化股份有限公司,2021-03-24 00:00:00,,日常消费,0
300956.SZ,英力股份,安徽英力电子科技股份有限公司,2021-03-26 00:00:00,,信息技术,0
300957.SZ,贝泰妮,云南贝泰妮生物科技集团股份有限公司,2021-03-25 00:00:00,,日常消费,0
300958.SZ,建工修复,北京建工环境修复股份有限公司,2021-03-29 00:00:00,,工业,0
300959.SZ,线上线下,无锡线上线下通讯信息技术股份有限公司,2021-03-22 00:00:00,,电信服务,0
300960.SZ,通业科技,深圳通业科技股份有限公司,2021-03-29 00:00:00,,工业,0
300961.SZ,深水海纳,深水海纳水务集团股份有限公司,2021-03-30 00:00:00,,工业,0
300962.SZ,中金辐照,中金辐照股份有限公司,2021-04-09 00:00:00,,医疗保健,0
300963.SZ,中洲特材,上海中洲特种合金材料股份有限公司,2021-04-09 00:00:00,,材料,0
300964.SZ,本川智能,江苏本川智能电路科技股份有限公司,2021-08-05 00:00:00,,信息技术,0
300965.SZ,恒宇信通,恒宇信通航空装备(北京)股份有限公司,2021-04-02 00:00:00,,工业,0
300966.SZ,共同药业,湖北共同药业股份有限公司,2021-04-09 00:00:00,,医疗保健,0
300967.SZ,晓鸣股份,宁夏晓鸣农牧股份有限公司,2021-04-13 00:00:00,,日常消费,0
300968.SZ,格林精密,广东格林精密部件股份有限公司,2021-04-15 00:00:00,,信息技术,0
300969.SZ,恒帅股份,宁波恒帅股份有限公司,2021-04-12 00:00:00,,可选消费,0
300970.SZ,华绿生物,江苏华绿生物科技股份有限公司,2021-04-12 00:00:00,,日常消费,0
300971.SZ,博亚精工,襄阳博亚精工装备股份有限公司,2021-04-15 00:00:00,,工业,0
300972.SZ,万辰生物,福建万辰生物科技股份有限公司,2021-04-19 00:00:00,,日常消费,0
300973.SZ,立高食品,立高食品股份有限公司,2021-04-15 00:00:00,,日常消费,0
300975.SZ,商络电子,南京商络电子股份有限公司,2021-04-21 00:00:00,,信息技术,0
300976.SZ,达瑞电子,东莞市达瑞电子股份有限公司,2021-04-19 00:00:00,,信息技术,0
300977.SZ,深圳瑞捷,深圳瑞捷工程咨询股份有限公司,2021-04-20 00:00:00,,工业,0
300978.SZ,东箭科技,广东东箭汽车科技股份有限公司,2021-04-26 00:00:00,,可选消费,0
300979.SZ,华利集团,中山华利实业集团股份有限公司,2021-04-26 00:00:00,,可选消费,0
300980.SZ,祥源新材,湖北祥源新材科技股份有限公司,2021-04-21 00:00:00,,材料,0
300981.SZ,中红医疗,中红普林医疗用品股份有限公司,2021-04-27 00:00:00,,医疗保健,0
300982.SZ,苏文电能,苏文电能科技股份有限公司,2021-04-27 00:00:00,,工业,0
300983.SZ,尤安设计,上海尤安建筑设计股份有限公司,2021-04-20 00:00:00,,工业,0
300984.SZ,金沃股份,浙江金沃精工股份有限公司,2021-06-18 00:00:00,,工业,0
300985.SZ,致远新能,长春致远新能源装备股份有限公司,2021-04-29 00:00:00,,工业,0
300986.SZ,志特新材,江西志特新材料股份有限公司,2021-04-30 00:00:00,,材料,0
300987.SZ,川网传媒,四川新闻网传媒(集团)股份有限公司,2021-05-11 00:00:00,,信息技术,0
300988.SZ,津荣天宇,天津津荣天宇精密机械股份有限公司,2021-05-12 00:00:00,,可选消费,0
300989.SZ,蕾奥规划,深圳市蕾奥规划设计咨询股份有限公司,2021-05-07 00:00:00,,工业,0
300990.SZ,同飞股份,三河同飞制冷股份有限公司,2021-05-12 00:00:00,,工业,0
300991.SZ,创益通,深圳市创益通技术股份有限公司,2021-05-20 00:00:00,,信息技术,0
300992.SZ,泰福泵业,浙江泰福泵业股份有限公司,2021-05-25 00:00:00,,工业,0
300993.SZ,玉马遮阳,山东玉马遮阳科技股份有限公司,2021-05-24 00:00:00,,材料,0
300994.SZ,久祺股份,久祺股份有限公司,2021-08-12 00:00:00,,可选消费,0
300995.SZ,奇德新材,广东奇德新材料股份有限公司,2021-05-26 00:00:00,,材料,0
300996.SZ,普联软件,普联软件股份有限公司,2021-06-03 00:00:00,,信息技术,0
300997.SZ,欢乐家,欢乐家食品集团股份有限公司,2021-06-02 00:00:00,,日常消费,0
300998.SZ,宁波方正,宁波方正汽车模具股份有限公司,2021-06-02 00:00:00,,可选消费,0
300999.SZ,金龙鱼,益海嘉里金龙鱼粮油食品股份有限公司,2020-10-15 00:00:00,,日常消费,0
301000.SZ,肇民科技,上海肇民新材料科技股份有限公司,2021-05-28 00:00:00,,可选消费,0
301001.SZ,凯淳股份,上海凯淳实业股份有限公司,2021-05-28 00:00:00,,信息技术,0
301002.SZ,崧盛股份,深圳市崧盛电子股份有限公司,2021-06-07 00:00:00,,工业,0
301003.SZ,江苏博云,江苏博云塑业股份有限公司,2021-06-01 00:00:00,,材料,0
301004.SZ,嘉益股份,浙江嘉益保温科技股份有限公司,2021-06-25 00:00:00,,可选消费,0
301005.SZ,超捷股份,超捷紧固系统(上海)股份有限公司,2021-06-01 00:00:00,,可选消费,0
301006.SZ,迈拓股份,迈拓仪表股份有限公司,2021-06-07 00:00:00,,工业,0
301007.SZ,德迈仕,大连德迈仕精密科技股份有限公司,2021-06-16 00:00:00,,可选消费,0
301008.SZ,宏昌科技,浙江宏昌电器科技股份有限公司,2021-06-11 00:00:00,,工业,0
301009.SZ,可靠股份,杭州可靠护理用品股份有限公司,2021-06-17 00:00:00,,日常消费,0
301010.SZ,晶雪节能,江苏晶雪节能科技股份有限公司,2021-06-18 00:00:00,,材料,0
301011.SZ,华立科技,广州华立科技股份有限公司,2021-06-17 00:00:00,,可选消费,0
301012.SZ,扬电科技,江苏扬电科技股份有限公司,2021-06-22 00:00:00,,工业,0
301013.SZ,利和兴,深圳市利和兴股份有限公司,2021-06-29 00:00:00,,工业,0
301015.SZ,百洋医药,青岛百洋医药股份有限公司,2021-06-30 00:00:00,,医疗保健,0
301016.SZ,雷尔伟,南京雷尔伟新技术股份有限公司,2021-06-30 00:00:00,,工业,0
301017.SZ,漱玉平民,漱玉平民大药房连锁股份有限公司,2021-07-05 00:00:00,,日常消费,0
301018.SZ,申菱环境,广东申菱环境系统股份有限公司,2021-07-07 00:00:00,,工业,0
301019.SZ,宁波色母,宁波色母粒股份有限公司,2021-06-28 00:00:00,,材料,0
301020.SZ,密封科技,烟台石川密封科技股份有限公司,2021-07-06 00:00:00,,可选消费,0
301021.SZ,英诺激光,英诺激光科技股份有限公司,2021-07-06 00:00:00,,信息技术,0
301022.SZ,海泰科,青岛海泰科模塑科技股份有限公司,2021-07-02 00:00:00,,工业,0
301023.SZ,江南奕帆,无锡江南奕帆电力传动科技股份有限公司,2021-07-07 00:00:00,,工业,0
301024.SZ,霍普股份,上海霍普建筑设计事务所股份有限公司,2021-07-28 00:00:00,,工业,0
301025.SZ,读客文化,读客文化股份有限公司,2021-07-19 00:00:00,,可选消费,0
301026.SZ,浩通科技,徐州浩通新材料科技股份有限公司,2021-07-16 00:00:00,,材料,0
301027.SZ,华蓝集团,华蓝集团股份公司,2021-07-15 00:00:00,,工业,0
301028.SZ,东亚机械,厦门东亚机械工业股份有限公司,2021-07-20 00:00:00,,工业,0
301029.SZ,怡合达,东莞怡合达自动化股份有限公司,2021-07-23 00:00:00,,信息技术,0
301030.SZ,仕净科技,苏州仕净科技股份有限公司,2021-07-22 00:00:00,,工业,0
301031.SZ,中熔电气,西安中熔电气股份有限公司,2021-07-15 00:00:00,,信息技术,0
301032.SZ,新柴股份,浙江新柴股份有限公司,2021-07-22 00:00:00,,工业,0
301033.SZ,迈普医学,广州迈普再生医学科技股份有限公司,2021-07-26 00:00:00,,医疗保健,0
301035.SZ,润丰股份,山东潍坊润丰化工股份有限公司,2021-07-28 00:00:00,,材料,0
301036.SZ,双乐股份,双乐颜料股份有限公司,2021-07-29 00:00:00,,材料,0
301037.SZ,保立佳,上海保立佳化工股份有限公司,2021-07-30 00:00:00,,材料,0
301038.SZ,深水规院,深圳市水务规划设计院股份有限公司,2021-08-04 00:00:00,,工业,0
301039.SZ,中集车辆,中集车辆(集团)股份有限公司,2021-07-08 00:00:00,,工业,0
301040.SZ,中环海陆,张家港中环海陆高端装备股份有限公司,2021-08-03 00:00:00,,工业,0
301041.SZ,金百泽,深圳市金百泽电子科技股份有限公司,2021-08-11 00:00:00,,信息技术,0
301042.SZ,安联锐视,珠海安联锐视科技股份有限公司,2021-08-05 00:00:00,,信息技术,0
301043.SZ,绿岛风,广东绿岛风空气系统股份有限公司,2021-08-11 00:00:00,,工业,0
301045.SZ,天禄科技,苏州天禄光科技股份有限公司,2021-08-13 00:00:00,,信息技术,0
301046.SZ,能辉科技,上海能辉科技股份有限公司,2021-08-17 00:00:00,,工业,0
301047.SZ,义翘神州,北京义翘神州科技股份有限公司,2021-08-16 00:00:00,,医疗保健,0
301048.SZ,金鹰重工,金鹰重型工程机械股份有限公司,2021-08-18 00:00:00,,工业,0
301049.SZ,超越科技,安徽超越环保科技股份有限公司,2021-08-24 00:00:00,,工业,0
301050.SZ,雷电微力,成都雷电微力科技股份有限公司,2021-08-24 00:00:00,,工业,0
301051.SZ,信濠光电,深圳市信濠光电科技股份有限公司,2021-08-27 00:00:00,,信息技术,0
301052.SZ,果麦文化,果麦文化传媒股份有限公司,2021-08-30 00:00:00,,可选消费,0
301053.SZ,远信工业,远信工业股份有限公司,2021-09-01 00:00:00,,工业,0
301055.SZ,张小泉,张小泉股份有限公司,2021-09-06 00:00:00,,可选消费,0
301056.SZ,森赫股份,森赫电梯股份有限公司,2021-09-07 00:00:00,,工业,0
301057.SZ,汇隆新材,浙江汇隆新材料股份有限公司,2021-09-09 00:00:00,,材料,0
301058.SZ,中粮工科,中粮工程科技股份有限公司,2021-09-09 00:00:00,,工业,0
301059.SZ,金三江,金三江(肇庆)硅材料股份有限公司,2021-09-13 00:00:00,,材料,0
301060.SZ,兰卫医学,上海兰卫医学检验所股份有限公司,2021-09-13 00:00:00,,医疗保健,0
301061.SZ,匠心家居,常州匠心独具智能家居股份有限公司,2021-09-13 00:00:00,,可选消费,0
301062.SZ,上海艾录,上海艾录包装股份有限公司,2021-09-14 00:00:00,,材料,0
301063.SZ,海锅股份,张家港海锅新能源装备股份有限公司,2021-09-24 00:00:00,,工业,0
301065.SZ,本立科技,浙江本立科技股份有限公司,2021-09-14 00:00:00,,材料,0
301066.SZ,万事利,杭州万事利丝绸文化股份有限公司,2021-09-22 00:00:00,,可选消费,0
301067.SZ,显盈科技,深圳市显盈科技股份有限公司,2021-09-22 00:00:00,,信息技术,0
301068.SZ,大地海洋,杭州大地海洋环保股份有限公司,2021-09-28 00:00:00,,材料,0
301069.SZ,凯盛新材,山东凯盛新材料股份有限公司,2021-09-27 00:00:00,,材料,0
301070.SZ,开勒股份,开勒环境科技(上海)股份有限公司,2021-09-23 00:00:00,,工业,0
301071.SZ,力量钻石,河南省力量钻石股份有限公司,2021-09-24 00:00:00,,材料,0
301072.SZ,中捷精工,江苏中捷精工科技股份有限公司,2021-09-29 00:00:00,,可选消费,0
301073.SZ,君亭酒店,君亭酒店集团股份有限公司,2021-09-30 00:00:00,,可选消费,0
301075.SZ,多瑞医药,西藏多瑞医药股份有限公司,2021-09-29 00:00:00,,医疗保健,0
301076.SZ,新瀚新材,江苏新瀚新材料股份有限公司,2021-10-11 00:00:00,,材料,0
