AF_LR_MTBI_id,AF_LR_MTBI_name,AF_LR_MTBI_start_time,AF_LR_MTBI_org,AF_LR_MTBI_reason,consecutive
600145.SH,退市新亿(退市),2022,中国证券监督管理委员会新疆监管局,涉嫌违规披露、不披露重要信息,0
600146.SH,*ST环球,2021,中国证券监督管理委员会,涉嫌信息披露违法违规,0
600146.SH,退市环球(退市),2022,中国证券监督管理委员会,未在法定期限内披露2021年年报,1
600157.SH,永泰能源,2008,中国证券监督管理委员会,涉嫌违反法律法规,0
600159.SH,大龙地产,2010,中国证券监督管理委员会,涉嫌违反证券法律法规,0
600180.SH,瑞茂通,2007,中国证券监督管理委员会济南稽查局,涉嫌公司信息披露违反证券法律法规,0
600185.SH,格力地产,2009,中国证券监督管理委员会陕西监管局,涉嫌违反相关证券法律法规,0
600185.SH,格力地产,2009,中国证券监督管理委员会,涉嫌信息披露违法违规,0
600198.SH,大唐电信,2003,中国证券监督管理委员会,涉嫌“ST七砂”一案,0
600198.SH,大唐电信,2005,中国证券监督管理委员会北京监管局,涉嫌虚假信息披露,0
600203.SH,福日电子,2010,中国证券监督管理委员会福建监管局,涉嫌违反证券法律法规,0
600221.SH,ST海航,2021,中国证券监督管理委员会,涉嫌信息披露违法违规,0
600234.SH,科新发展,2004,中国证券监督管理委员会山西监管局稽查部,涉嫌违反证券法律法规,0
600240.SH,退市华业(退市),2019,中国证券监督管理委员会,涉嫌信息披露违法违规,0
600242.SH,*ST中昌,2005,中国证券监督管理委员会广东证管局,涉嫌信息披露违规,0
600260.SH,*ST凯乐,2022,中国证券监督管理委员会,涉嫌信息披露违法违规,0
600275.SH,退市昌鱼(退市),2017,中国证券监督管理委员会,涉嫌违法违规,0
600286.SH,S*ST国瓷(退市),2007,中国证券监督管理委员会湖南监管局,涉嫌信息披露违规,0
600310.SH,桂东电力,2022,中国证券监督管理委员会,涉嫌信息披露违法违规,0
600313.SH,农发种业,2007,中国证券监督管理委员会,涉嫌违反法律法规的规定,0
600338.SH,西藏珠峰,2006,中国证券监督管理委员会,涉嫌违反相关法律法规,0
600343.SH,航天动力,2022,中国证券监督管理委员会,涉嫌信息披露违法违规,0
600378.SH,昊华科技,2004,中国证券监督管理委员会成都稽查局,涉嫌违反证券法律法规,0
600379.SH,宝光股份,2015,中国证券监督管理委员会,涉嫌违反证券法律法规,0
