AF_ST_factor01,AF_ST_factor02,AF_ST_factor03,consecutive
600193.SH,创兴资源,2018,0
600198.SH,*ST大唐,2018,0
600198.SH,大唐电信,2021,0
600202.SH,哈空调,2018,0
600209.SH,*ST罗顿,2018,0
600212.SH,江泉实业,2020,0
600215.SH,派斯林,2020,0
600221.SH,ST海航,2021,0
600225.SH,*ST松江,2020,0
600226.SH,ST瀚叶,2020,0
600238.SH,海南椰岛,2018,0
600239.SH,ST云城,2021,0
600240.SH,退市华业(退市),2019,0
600240.SH,退市华业(退市),2019,0
600241.SH,ST时万,2020,0
600242.SH,ST中昌,2020,0
600243.SH,青海华鼎,2020,0
600255.SH,鑫科材料,2020,0
600260.SH,*ST凯乐,2021,0
600265.SH,ST景谷,2021,0
600280.SH,中央商场,2020,0
600290.SH,ST华仪,2019,0
600291.SH,退市西水(退市),2021,0
600300.SH,维维股份,2021,0
600301.SH,南化股份,2021,0
600306.SH,*ST商城,2020,0
600311.SH,ST荣华,2020,0
600319.SH,*ST亚星,2019,0
600319.SH,亚星化学,2021,0
600321.SH,正源股份,2018,0
600354.SH,敦煌种业,2020,0
600358.SH,国旅联合,2020,0
600365.SH,ST通葡,2020,0
600382.SH,ST广珠,2021,0
600385.SH,*ST金泰,2019,0
600387.SH,ST海越,2021,0
600393.SH,粤泰股份,2021,0
600396.SH,金山股份,2019,0
600397.SH,安源煤业,2018,0
600399.SH,抚顺特钢,2018,0
600403.SH,大有能源,2021,0
600408.SH,ST安泰,2018,0
600416.SH,湘电股份,2020,0
600421.SH,华嵘控股,2018,0
600462.SH,ST九有,2019,0
600470.SH,六国化工,2020,0
600485.SH,*ST信威(退市),2019,0
600506.SH,香梨股份,2021,0
600515.SH,ST基础,2021,0
600518.SH,*ST康美,2019,0
600518.SH,ST康美,2021,0
600526.SH,菲达环保,2019,0
600530.SH,交大昂立,2020,0
600539.SH,狮头股份,2018,0
600555.SH,*ST海创,2020,0
600568.SH,ST中珠,2020,0
600589.SH,ST榕泰,2021,0
600593.SH,大连圣亚,2021,0
600595.SH,ST中孚,2019,0
600599.SH,ST熊猫,2020,0
600601.SH,*ST方科,2021,0
600610.SH,中毅达,2018,0
600614.SH,退市鹏起(退市),2019,0
600615.SH,*ST丰华,2019,0
600615.SH,丰华股份,2021,0
600634.SH,退市富控(退市),2018,0
600651.SH,飞乐音响,2020,0
600652.SH,*ST游久,2019,0
600666.SH,ST瑞德,2019,0
600671.SH,ST目药,2020,0
600677.SH,*ST航通(退市),2020,0
600687.SH,退市刚泰(退市),2019,0
600687.SH,退市刚泰(退市),2021,0
600695.SH,退市绿庭(退市),2021,0
600698.SH,湖南天雁,2019,0
600701.SH,退市工新(退市),2018,0
600702.SH,舍得酒业,2020,0
600721.SH,*ST百花,2019,0
600726.SH,华电能源,2019,0
600734.SH,*ST实达,2020,0
600747.SH,退市大控(退市),2019,0
600749.SH,西藏旅游,2018,0
600766.SH,*ST园城,2021,0
600778.SH,友好集团,2018,0
600781.SH,ST辅仁,2019,0
600807.SH,济南高新,2018,0
600815.SH,厦工股份,2019,0
600816.SH,ST安信,2020,0
600821.SH,金开新能,2020,0
600836.SH,上海易连,2020,0
600856.SH,*ST中天,2019,0
600860.SH,京城股份,2020,0
600870.SH,*ST厦华,2018,0
600871.SH,石化油服,2018,0
600890.SH,退市中房(退市),2021,0
600891.SH,退市秋林(退市),2019,0
600892.SH,大晟文化,2020,0
600896.SH,*ST海医,2018,0
600896.SH,退市海医(退市),2021,0
600898.SH,ST美讯,2020,0
600978.SH,*ST宜生(退市),2020,0
601020.SH,华钰矿业,2021,0
601113.SH,ST华鼎,2019,0
601258.SH,庞大集团,2019,0
601399.SH,国机重装,2020,0
601558.SH,退市锐电(退市),2020,0
601777.SH,力帆科技,2020,0
601798.SH,蓝科高新,2018,0
601975.SH,招商南油,2019,0
603007.SH,ST花王,2021,0
603032.SH,德新交运,2021,0
603157.SH,*ST拉夏,2020,0
603188.SH,亚邦股份,2018,0
603188.SH,亚邦股份,2019,1
603389.SH,亚振家居,2020,0
603555.SH,ST贵人,2020,0
603557.SH,ST起步,2021,0
603729.SH,龙韵股份,2021,0
603779.SH,威龙股份,2019,0
603810.SH,丰山集团,2019,0
603863.SH,松炀资源,2021,0
603996.SH,*ST中新,2019,0
